id;nome;dtnascimento;ativooo;created_by;created_date;last_modified_by;last_modified_date
1;oof;2025-03-22;false;whenever march;2025-03-22T20:52:12;out secrecy;2025-03-23T00:17:03
2;rowdy;2025-03-22;true;notwithstanding;2025-03-23T00:38:24;hypothesize including;2025-03-22T14:39:03
3;closely;2025-03-23;false;willfully;2025-03-23T07:33:21;incidentally gadzooks stint;2025-03-22T18:27:29
4;idealistic;2025-03-22;false;geez pomelo penalise;2025-03-22T15:04:58;as;2025-03-23T00:20:54
5;across necessary like;2025-03-23;true;grandiose;2025-03-23T00:20:19;finer ack;2025-03-23T02:10:46
6;mispronounce;2025-03-23;false;wrongly though mount;2025-03-23T01:05:24;promise nor new;2025-03-22T16:44:40
7;prudent handsome round;2025-03-23;false;compassionate besides versus;2025-03-23T13:06:08;beneficial;2025-03-23T13:21:35
8;till noteworthy blah;2025-03-23;true;gosh whoa;2025-03-22T15:33:50;decent;2025-03-22T16:17:25
9;forceful;2025-03-23;true;mentor sweetly;2025-03-23T10:00:21;fiercely;2025-03-22T21:05:07
10;emboss phooey;2025-03-23;false;whale willing briskly;2025-03-23T05:43:47;elevator milestone abnormally;2025-03-22T17:42:42
